Record_ID,Country,State_Region,Date,Happiness_Score,GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Generosity,Perceptions_Of_Corruption,Positive_Affect,Negative_Affect,Confidence_In_Government
HAPPY_012650,Brazil,Santa Catarina,2022-01-18,7.782,19235.18,1.103,58.6,0.689,-0.5,,0.916,0.377,0.046
HAPPY_012906,Italy,Apulia,2024-09-08,8.019,8483.39,1.559,55.2,0.89,-0.352,0.251,0.468,0.123,0.094
HAPPY_011380,Japan,Gifu,2024-12-25,5.102,9010.97,,85.0,1.24,0.357,0.78,0.71,0.283,0.389
HAPPY_011101,France,Hauts-de-France,2024-02-10,2.838,20595.91,1.342,70.5,0.955,0.056,,0.471,0.616,0.087
HAPPY_003969,Canada,Yukon,2015-06-02,7.756,24965.12,0.362,60.1,0.726,-0.049,0.669,0.657,0.117,0.761
HAPPY_011135,India,West Bengal,2024-11-15,5.927,7845.55,1.935,70.8,1.202,0.259,0.302,0.653,0.367,0.212
HAPPY_004584,Germany,Saxony,2023-02-13,4.495,49010.75,1.678,52.8,1.444,0.413,0.454,0.455,0.456,0.264
HAPPY_007330,Italy,Emilia-Romagna,2022-09-20,3.87,14576.89,1.511,71.8,1.074,-0.091,0.34,0.766,0.305,0.555
HAPPY_015154,Mexico,Sinaloa,2022-11-25,3.516,16388.7,1.714,61.2,1.159,0.382,0.42,0.218,0.635,0.248
HAPPY_012675,Russia,Volgograd Oblast,2022-03-15,4.368,2848.71,0.95,55.2,1.368,-0.346,0.568,0.448,0.208,0.335
HAPPY_009875,Russia,Nizhny Novgorod Oblast,2018-09-03,6.797,13782.54,0.507,49.3,1.26,-0.038,0.068,0.402,0.08,0.367
HAPPY_001801,Brazil,Espirito Santo,2022-06-20,8.032,3997.26,1.346,,0.442,-0.072,0.185,0.751,0.53,0.106
HAPPY_002309,Spain,Cantabria,2018-08-27,7.364,26790.09,0.727,85.0,1.078,0.5,0.431,0.386,0.5,0.296
HAPPY_005613,Canada,Nunavut,2024-05-24,8.241,11299.83,0.737,76.9,0.496,-0.198,0.434,0.726,0.124,0.157
HAPPY_008816,South Korea,Gangwon,2023-03-02,5.187,8510.38,1.76,70.4,1.239,-0.066,0.25,0.389,0.122,0.239
HAPPY_002090,Italy,Abruzzo,2023-09-10,6.468,18722.57,,54.6,1.386,0.418,0.443,0.346,0.271,0.045
HAPPY_010597,Canada,New Brunswick,2017-04-17,3.107,4890.83,1.736,52.0,0.665,-0.27,0.259,0.556,0.513,0.176
HAPPY_004056,Brazil,Para,2020-04-20,5.606,4982.53,0.283,77.9,1.357,0.009,0.49,0.889,0.655,0.161
HAPPY_007284,Spain,La Rioja,2024-09-04,4.264,7442.57,0.995,47.6,1.331,0.04,0.261,0.76,0.47,0.491
HAPPY_004930,India,West Bengal,2021-07-26,7.78,13502.73,1.862,63.4,1.183,0.023,0.374,0.808,0.692,0.51
HAPPY_010267,Russia,Moscow Oblast,2016-10-23,4.935,16631.9,1.772,65.1,1.337,0.271,0.363,0.67,,0.574
HAPPY_001888,UK,Wales,2015-05-23,5.403,7919.34,1.305,74.0,0.935,-0.405,0.584,0.263,0.637,0.547
HAPPY_013598,Japan,Fukuoka,2017-07-24,4.447,8366.76,1.824,62.3,1.06,0.5,0.116,0.377,0.222,0.055
HAPPY_013477,Turkey,Ankara,2017-12-10,6.391,7934.09,1.926,,1.443,0.027,0.254,0.855,0.538,0.706
HAPPY_002441,India,Punjab,2015-06-10,5.163,44732.87,1.311,68.3,1.442,,0.562,0.781,0.165,0.28
HAPPY_003229,South Africa,Mpumalanga,2016-08-13,5.169,19039.02,0.749,85.0,1.329,-0.132,0.345,0.632,0.839,0.224
HAPPY_014233,South Korea,Daejeon,2024-04-23,3.639,21417.25,0.983,56.3,1.085,-0.197,0.748,0.577,0.387,0.776
HAPPY_006561,China,Jilin,2022-01-27,5.708,15738.46,1.19,83.5,1.295,-0.026,0.204,0.86,0.552,0.529
HAPPY_003029,China,Jilin,2018-08-13,7.334,20252.71,1.598,68.1,0.572,0.016,0.4,0.075,0.324,0.053
HAPPY_000123,South Africa,Limpopo,2021-01-26,4.645,2333.64,0.929,69.6,0.813,-0.107,0.782,0.925,0.698,0.482
HAPPY_006952,Russia,Moscow Oblast,2023-12-24,3.533,,0.541,83.9,0.903,0.224,0.094,0.222,0.349,0.165
HAPPY_008845,Canada,Saskatchewan,2018-04-07,3.276,6572.98,1.498,67.9,0.799,0.5,0.145,0.705,0.038,0.082
HAPPY_004610,Turkey,Kahramanmaras,2022-12-07,8.499,15670.89,1.76,45.0,0.902,0.443,0.619,0.728,0.67,0.367
HAPPY_008951,Italy,Abruzzo,2023-01-03,4.969,17445.26,1.91,50.7,0.646,0.041,0.444,0.879,0.048,0.378
HAPPY_000187,Italy,Valle d'Aosta,2018-12-12,8.486,11934.26,1.999,57.6,0.91,0.469,0.065,0.697,0.596,0.497
HAPPY_008380,Australia,Tasmania,2021-07-17,7.887,7294.7,1.437,63.3,1.149,-0.39,0.653,0.456,0.673,0.161
HAPPY_010731,South Korea,Gwangju,2024-11-05,4.177,67080.0,1.42,49.2,0.654,0.232,0.418,0.795,0.646,0.176
HAPPY_000378,Italy,Tuscany,2019-02-24,3.829,9440.05,1.464,67.5,0.52,0.11,0.319,0.532,0.263,0.659
HAPPY_002968,Australia,South Australia,2023-04-21,,20983.28,1.015,63.9,0.929,0.099,0.165,0.378,0.652,0.355
HAPPY_011521,Mexico,Mexico City,2016-06-18,3.471,29750.26,0.813,84.2,0.291,-0.431,0.289,0.704,0.534,0.543
HAPPY_002527,Brazil,Amazonas,2020-11-22,7.524,15796.74,1.987,85.0,0.756,-0.5,0.361,0.407,0.481,0.361
HAPPY_004014,Germany,Bavaria,2020-11-26,7.434,11401.16,0.811,51.8,1.385,-0.006,0.427,0.619,0.449,
HAPPY_007186,South Korea,Ulsan,2017-06-23,7.575,12696.67,1.559,53.4,1.239,0.5,0.412,0.586,0.307,0.486
HAPPY_009305,Japan,Tochigi,2024-11-22,4.68,34810.96,1.972,65.8,0.681,-0.497,0.464,0.641,0.556,0.119
HAPPY_010187,France,Grand Est,2023-10-12,5.563,19482.65,0.97,63.2,0.742,0.452,0.315,0.298,0.624,0.735
HAPPY_009382,USA,Pennsylvania,2020-04-08,3.069,8053.47,1.116,61.7,0.98,0.171,0.136,0.776,0.393,0.363
HAPPY_013517,USA,Massachusetts,2016-08-12,2.991,19868.31,1.863,66.5,0.914,0.296,0.281,0.432,0.312,0.191
HAPPY_002164,Japan,Hiroshima,2020-12-24,3.938,12215.3,1.76,68.9,1.443,-0.445,0.624,0.818,0.391,0.272
HAPPY_006608,South Africa,Northern Cape,2016-06-11,5.798,25813.63,0.364,68.8,0.735,0.423,0.678,0.9,0.265,0.191
HAPPY_008166,Italy,Emilia-Romagna,2019-10-02,2.511,3521.17,1.119,68.8,1.161,0.114,0.283,0.78,0.719,0.298
HAPPY_015911,UK,England,2021-02-27,4.587,5365.21,0.782,75.6,1.142,0.073,0.157,0.379,0.395,0.53
HAPPY_002475,Germany,Schleswig-Holstein,2020-05-23,6.978,12804.03,1.832,55.1,1.052,0.216,0.109,0.56,0.249,0.474
HAPPY_001680,China,Guangxi,2023-08-22,7.901,17239.85,1.79,62.8,1.347,0.033,0.583,0.687,0.521,0.356
HAPPY_014142,India,Kerala,2015-06-01,4.354,6500.28,0.921,59.6,0.692,0.025,0.274,0.535,0.694,0.181
HAPPY_003956,Spain,Andalusia,2020-02-07,4.959,2525.21,1.993,65.5,1.096,0.41,0.409,0.422,0.704,0.254
HAPPY_005789,UK,North West,2016-08-07,7.759,17383.87,0.43,57.4,1.068,0.024,0.269,0.517,0.756,0.479
HAPPY_006682,Canada,Northwest Territories,2019-05-22,6.839,5691.99,1.936,60.9,1.006,-0.112,0.49,0.559,0.209,0.499
HAPPY_006317,France,Pays de la Loire,2023-06-28,7.954,13191.61,1.811,66.1,0.744,0.1,0.425,0.794,0.578,0.409
HAPPY_011124,South Africa,North West,2021-06-05,2.57,27346.48,1.724,77.0,1.325,0.16,0.723,0.605,0.165,0.237
HAPPY_004313,South Africa,KwaZulu-Natal,2019-07-02,6.463,7768.26,1.549,75.6,0.646,-0.018,0.123,0.505,0.838,0.207
HAPPY_006740,Russia,Rostov Oblast,2024-09-26,7.74,4778.49,0.902,84.0,1.041,-0.227,0.515,0.634,0.154,0.857
HAPPY_010203,Canada,British Columbia,2022-11-20,6.682,10806.72,1.836,82.0,0.402,-0.25,0.398,0.509,0.16,0.344
HAPPY_001095,Turkey,Samsun,2019-07-23,4.375,12334.37,1.101,58.7,0.819,0.195,0.487,0.647,0.407,0.554
HAPPY_004823,France,Auvergne-Rhone-Alpes,2016-06-15,5.563,25015.4,1.914,58.9,0.391,0.446,0.751,0.439,0.159,0.335
HAPPY_008011,Australia,Western Australia,2024-02-11,6.765,18972.01,1.266,75.6,1.38,-0.016,0.207,0.949,0.811,0.231
HAPPY_006890,South Africa,Mpumalanga,2020-03-08,8.304,13546.21,0.542,83.7,0.928,-0.032,0.888,0.396,0.233,0.475
HAPPY_008177,South Korea,Jeju,2020-12-12,4.029,5911.05,1.42,52.6,0.89,-0.208,0.614,0.698,0.376,0.914
HAPPY_004940,USA,Washington,2024-07-09,2.918,33834.22,0.831,51.2,0.622,0.251,0.456,0.622,0.289,0.284
HAPPY_005700,Germany,Saxony-Anhalt,2021-08-26,7.178,41816.07,1.261,68.5,0.965,,0.455,0.903,0.415,0.087
HAPPY_005887,Japan,Kumamoto,2024-09-27,4.636,11649.31,0.52,75.1,0.812,-0.416,0.136,0.368,0.691,0.035
HAPPY_014548,Australia,Tasmania,2021-05-10,3.801,25216.25,1.751,75.8,0.573,0.443,0.794,0.875,0.552,0.151
HAPPY_001038,Italy,Campania,2024-03-28,6.472,28734.44,1.918,45.5,0.776,-0.4,0.122,0.494,0.533,0.356
HAPPY_000965,Russia,Moscow Oblast,2015-05-03,5.669,1127.19,0.757,46.7,0.499,0.5,0.283,0.746,0.234,0.638
HAPPY_007500,Russia,Novosibirsk Oblast,2018-08-09,6.112,7775.84,1.912,45.0,0.828,0.118,0.448,0.347,0.271,0.141
HAPPY_010561,USA,Massachusetts,2023-01-24,3.4,61216.42,0.92,62.5,1.107,0.155,0.579,0.527,0.398,0.343
HAPPY_007966,Turkey,Manisa,2020-06-24,6.366,4731.04,0.577,83.8,1.127,0.175,0.404,0.715,0.507,0.53
HAPPY_013976,USA,California,2018-09-01,6.794,6860.16,1.153,70.5,0.489,0.169,0.573,0.609,0.651,0.474
HAPPY_004963,USA,Colorado,2021-01-27,3.14,,1.944,77.7,1.353,-0.5,0.775,0.206,0.311,0.547
HAPPY_002849,Japan,Aichi,2018-10-17,4.645,7539.66,1.924,50.5,0.771,0.008,0.127,0.737,0.215,0.393
HAPPY_011328,Germany,Rhineland-Palatinate,2018-08-20,7.271,16348.77,1.811,51.8,0.846,0.5,0.317,0.579,0.491,0.465
HAPPY_000045,Australia,Northern Territory,2015-07-19,4.301,27164.73,1.942,71.3,0.349,-0.177,0.578,0.451,0.201,0.591
HAPPY_006130,Turkey,Izmir,2020-11-09,6.181,18051.27,1.426,45.0,1.108,-0.162,0.365,0.299,0.126,0.266
HAPPY_000659,China,Jilin,2023-10-09,,26653.9,1.242,65.6,1.109,-0.068,0.224,0.702,0.357,0.734
HAPPY_007444,South Korea,Daejeon,2015-05-17,3.709,10036.65,1.509,53.2,1.084,-0.122,0.533,0.98,0.675,0.439
HAPPY_010396,South Africa,Free State,2024-03-02,6.401,10800.44,1.173,61.0,1.15,-0.445,0.689,0.548,,0.035
HAPPY_010047,UK,South East,2023-01-13,3.691,4208.86,1.813,80.0,0.383,0.182,0.634,0.733,0.112,0.658
HAPPY_002714,China,Shaanxi,2020-08-23,4.757,5592.0,1.205,45.0,0.836,-0.271,0.542,0.811,,0.43
HAPPY_005706,Mexico,Chihuahua,2015-04-02,5.559,5207.87,0.822,73.6,0.291,-0.5,0.23,0.653,0.351,0.48
HAPPY_006655,UK,Northern Ireland,2016-04-11,5.319,3867.36,0.887,55.1,0.69,0.5,0.296,0.28,0.33,0.675
HAPPY_014817,Turkey,Gaziantep,2016-06-24,4.411,4598.6,1.286,65.5,0.605,0.254,0.491,,0.398,0.368
HAPPY_006375,Turkey,Van,2018-08-16,4.768,8847.08,1.687,53.3,1.075,0.195,0.309,0.699,0.211,0.658
HAPPY_015867,Spain,Murcia,2024-01-19,6.201,64299.55,1.709,85.0,1.005,-0.288,0.505,0.4,0.458,0.113
HAPPY_010881,South Africa,Northern Cape,2020-07-11,7.121,40095.66,1.751,62.6,0.854,-0.038,0.504,0.734,0.484,0.513
HAPPY_012651,UK,North West,2022-03-16,2.658,4451.61,0.56,60.7,0.325,-0.226,0.321,0.116,0.39,0.457
HAPPY_011345,Spain,Castile and Leon,2024-11-26,3.225,17996.21,0.759,62.6,0.835,-0.106,0.186,0.599,0.145,0.776
HAPPY_008754,China,Liaoning,2021-03-23,2.855,29123.53,1.95,84.9,0.989,-0.5,0.534,0.181,0.214,0.766
HAPPY_011557,Spain,Castile and Leon,2018-01-28,3.23,8078.99,1.971,77.8,0.576,-0.191,0.488,0.843,0.412,0.311
HAPPY_009621,India,Karnataka,2021-03-04,3.377,2523.4,1.896,45.0,1.05,0.244,0.535,0.593,0.498,0.305
HAPPY_012801,Germany,Hamburg,2023-07-11,6.128,50236.49,1.985,69.0,1.047,0.415,0.328,0.784,0.618,0.207
HAPPY_001056,UK,West Midlands,2016-10-03,4.893,3039.84,1.786,59.0,1.221,0.061,0.122,0.219,0.226,0.681
HAPPY_004706,Australia,Western Australia,2020-03-12,7.906,4808.9,1.368,58.8,1.124,,0.54,0.928,0.063,0.767
HAPPY_013932,South Africa,Western Cape,2021-08-07,6.513,35895.05,1.633,61.1,1.177,0.15,0.541,0.702,0.497,0.197
HAPPY_011198,Turkey,Istanbul,2017-03-03,5.337,17713.21,,60.5,1.03,-0.346,0.183,0.103,0.272,0.238
HAPPY_004682,China,Henan,2023-02-25,4.787,21201.72,0.788,55.1,0.275,-0.169,0.261,0.303,0.415,0.658
HAPPY_002211,Japan,Kumamoto,2017-02-25,6.537,13961.51,1.262,62.9,0.807,0.106,0.251,0.871,0.555,0.248
HAPPY_003345,China,Shanxi,2021-05-12,5.448,14409.41,1.72,45.0,1.23,0.341,0.802,0.456,0.423,0.188
HAPPY_015311,Canada,Manitoba,2023-10-20,,45212.32,0.975,54.5,1.066,0.13,0.337,0.78,0.334,0.028
HAPPY_010600,South Korea,Incheon,2021-08-22,6.78,10425.25,1.284,61.1,0.374,-0.055,0.364,0.842,0.369,0.055
HAPPY_004817,Iran,Yazd,2022-03-04,2.672,8890.52,1.463,71.2,0.368,0.013,0.246,0.652,0.142,0.476
HAPPY_011348,Japan,Kyoto,2023-11-13,5.974,15823.91,1.494,,0.581,-0.435,0.322,0.345,0.709,0.468
HAPPY_006284,Germany,Saxony-Anhalt,2021-05-17,7.659,21520.75,0.75,72.1,0.869,0.364,0.37,0.587,0.461,0.159
HAPPY_004213,Australia,Queensland,2020-06-06,7.766,12454.28,1.922,60.2,0.263,-0.278,0.045,0.613,0.33,0.507
HAPPY_007989,India,Uttar Pradesh,2023-12-19,4.122,33617.35,1.283,56.7,1.118,0.277,0.738,0.754,0.125,0.547
HAPPY_015750,Australia,Western Australia,2024-09-24,6.233,18606.44,0.858,73.3,0.708,,0.604,0.86,0.646,0.08
HAPPY_000827,Russia,Sverdlovsk Oblast,2015-05-01,5.07,33750.69,1.924,70.7,1.067,0.5,0.404,0.893,0.683,0.409
HAPPY_003502,Germany,Hamburg,2018-01-25,4.383,22656.82,0.979,85.0,1.111,0.062,0.461,0.761,0.475,0.44
HAPPY_012226,USA,California,2022-04-14,4.632,2544.87,1.348,67.4,0.832,-0.122,0.437,0.728,0.213,0.344
HAPPY_009059,South Korea,Seoul,2024-08-22,3.582,41256.37,1.368,83.4,1.226,0.144,0.409,0.642,0.161,0.18
HAPPY_001307,Iran,Yazd,2021-02-18,3.007,7186.62,0.128,73.2,0.894,-0.06,0.478,0.489,0.232,0.794
HAPPY_012562,Canada,Alberta,2018-09-01,3.766,10707.0,1.064,70.3,1.24,0.268,0.359,0.759,0.289,0.294
HAPPY_005006,Turkey,Balikesir,2017-12-25,6.901,20394.37,1.836,59.1,1.257,-0.152,0.26,0.215,0.38,0.453
HAPPY_010358,Russia,Chelyabinsk Oblast,2022-06-23,7.117,5941.0,1.915,74.4,0.763,-0.147,0.705,0.562,0.655,0.492
HAPPY_001689,India,Haryana,2023-06-18,3.157,8382.82,1.308,58.1,0.931,0.329,0.251,0.909,0.109,0.209
HAPPY_013402,Russia,Chelyabinsk Oblast,2015-12-07,6.161,31593.31,1.343,50.3,1.374,0.013,0.305,0.364,0.458,0.805
HAPPY_005560,UK,Yorkshire,2020-04-21,3.441,13722.66,1.615,60.1,1.105,-0.182,0.511,0.537,0.674,0.178
HAPPY_015986,South Korea,Gangwon,2021-04-13,4.346,21212.44,1.982,72.9,0.889,0.249,,0.866,0.322,0.333
HAPPY_007605,Japan,Niigata,2016-07-09,2.685,10364.63,0.694,76.6,0.456,-0.325,0.82,0.676,0.38,0.278
HAPPY_011014,Russia,Republic of Tatarstan,2016-06-10,7.584,23098.41,0.535,73.3,0.503,-0.154,0.223,0.794,0.729,0.039
HAPPY_008767,India,Andhra Pradesh,2017-06-20,5.45,11911.15,1.322,74.8,0.793,-0.211,0.21,0.496,0.133,0.182
HAPPY_015096,USA,Florida,2022-10-21,8.416,24806.58,1.402,49.9,1.174,0.263,0.271,0.756,0.837,0.19
HAPPY_008194,China,Shanxi,2018-05-21,2.597,6339.63,1.792,78.9,0.541,-0.143,0.271,0.373,0.528,0.448
HAPPY_010397,Australia,New South Wales,2022-11-12,6.595,14287.59,1.418,64.4,1.008,-0.159,0.189,0.765,0.503,0.21
HAPPY_010201,Iran,Gilan,2018-04-13,6.019,9432.12,1.107,69.7,0.775,0.053,0.467,0.34,0.169,0.474
HAPPY_009862,France,Corsica,2020-05-21,6.667,12898.89,1.512,68.1,0.714,-0.229,0.229,,0.649,0.179
HAPPY_012524,Japan,Miyagi,2022-07-07,7.541,48896.52,0.969,59.5,1.131,0.023,0.395,0.702,0.125,0.591
HAPPY_006154,Iran,Tehran,2020-07-21,4.419,9000.6,1.695,77.9,1.328,-0.295,0.551,0.747,0.368,0.496
HAPPY_006700,Germany,Hesse,2018-08-10,8.318,16669.06,1.172,70.7,1.042,-0.22,0.212,,0.296,0.348
HAPPY_011785,Canada,New Brunswick,2020-08-12,5.717,6630.95,1.325,45.0,1.172,0.082,0.163,0.789,0.751,0.729
HAPPY_014261,Japan,Shizuoka,2019-06-28,7.57,11302.92,1.712,66.1,0.975,-0.289,0.198,0.909,0.427,0.311
HAPPY_012768,China,Yunnan,2019-09-12,2.603,22679.56,0.725,71.3,1.13,-0.048,0.453,0.62,0.114,0.098
HAPPY_004907,South Africa,Limpopo,2020-04-07,8.215,79765.41,1.108,59.0,0.387,-0.033,0.431,0.887,0.755,0.509
HAPPY_012577,Spain,Murcia,2024-05-14,4.122,84450.26,1.864,47.1,0.731,0.091,0.345,0.462,0.233,0.655
HAPPY_003285,USA,Texas,2016-10-18,3.392,11851.63,0.682,66.5,0.805,0.005,0.009,0.719,,0.196
HAPPY_006972,Brazil,Bahia,2022-03-04,7.628,12269.11,1.344,59.6,0.811,-0.157,0.731,0.658,0.57,0.654
HAPPY_015488,Mexico,Baja California,2022-06-15,5.253,69537.41,1.192,53.7,0.585,-0.474,0.289,0.732,0.051,0.304
HAPPY_015012,India,West Bengal,2018-12-04,6.926,28896.54,1.838,68.6,0.974,-0.054,0.306,0.7,0.529,0.464
HAPPY_002788,China,Hebei,2017-06-06,7.089,31236.2,1.881,61.3,1.348,-0.151,0.911,0.507,0.224,0.559
HAPPY_004640,Germany,Thuringia,2020-12-28,3.791,11508.41,0.827,72.3,1.047,0.135,0.287,0.488,0.928,0.651
HAPPY_001721,Mexico,Guanajuato,2023-02-21,6.183,6711.91,1.931,69.3,1.11,0.173,0.566,0.744,0.286,0.482
HAPPY_011905,UK,Scotland,2022-11-01,6.55,20385.33,1.298,45.0,0.849,-0.5,0.81,0.376,0.729,0.329
HAPPY_011927,Russia,Republic of Bashkortostan,2021-04-16,5.994,14424.52,1.504,49.6,,-0.019,0.159,0.506,0.501,0.145
HAPPY_008408,Turkey,Malatya,2016-09-27,5.108,13632.36,0.599,66.8,0.67,-0.5,0.566,0.839,0.565,0.297
HAPPY_008587,USA,Texas,2021-01-20,4.805,14918.87,0.976,45.0,0.419,0.035,0.378,0.619,0.406,0.227
HAPPY_006065,Italy,Veneto,2020-09-22,4.15,8334.45,1.847,63.9,0.396,0.193,0.334,0.527,0.504,0.676
HAPPY_014749,France,Grand Est,2021-08-05,,49312.54,1.041,76.1,1.319,0.105,0.313,0.825,0.591,0.366
HAPPY_011778,USA,Texas,2019-08-10,5.104,35361.7,1.676,45.0,1.141,-0.5,0.609,0.371,0.399,0.369
HAPPY_004009,France,Centre-Val de Loire,2015-12-09,7.983,27709.13,0.887,56.2,1.254,0.224,0.241,0.482,0.389,0.512
HAPPY_012389,India,Rajasthan,2022-11-07,4.462,17184.92,1.589,70.7,0.518,0.188,0.123,0.391,0.603,0.346
HAPPY_002721,Turkey,Samsun,2018-11-04,8.221,21172.3,1.91,67.2,0.564,-0.041,0.452,0.408,0.562,0.323
HAPPY_004999,Mexico,Tamaulipas,2017-04-19,4.909,10426.52,1.387,45.0,1.279,-0.21,0.146,0.569,0.318,0.086
HAPPY_011417,Iran,Sistan and Baluchestan,2024-05-14,5.272,5093.62,1.741,73.9,0.554,0.421,0.472,0.425,0.394,0.401
HAPPY_009378,Turkey,Samsun,2020-10-26,8.482,13984.55,1.587,85.0,0.991,0.269,0.813,0.866,0.292,0.664
HAPPY_014555,Mexico,Coahuila,2018-01-26,7.137,10174.14,1.443,46.5,1.1,0.126,0.311,0.684,0.057,0.177
HAPPY_004952,Spain,Aragon,2021-10-12,6.974,60938.43,0.913,50.5,1.139,0.315,0.434,0.638,0.245,0.51
HAPPY_010025,Brazil,Para,2017-08-04,6.738,6793.87,1.455,47.6,1.367,-0.288,0.846,0.403,0.484,
HAPPY_009024,Brazil,Sao Paulo,2021-11-24,4.307,5733.73,1.473,71.4,1.012,-0.49,0.352,0.417,0.461,0.203
HAPPY_005136,USA,Florida,2021-02-25,3.078,12906.97,1.231,64.5,0.963,0.077,0.177,0.825,0.223,0.624
HAPPY_011048,India,West Bengal,2023-01-22,5.831,16150.65,1.913,55.1,1.326,-0.386,0.702,0.757,0.319,0.157
HAPPY_012015,Germany,Schleswig-Holstein,2019-06-12,6.679,20416.25,1.872,78.0,0.749,-0.027,0.588,0.657,0.326,0.841
HAPPY_014425,Spain,Asturias,2016-11-23,4.241,9526.14,1.817,79.4,0.784,-0.199,0.311,0.62,0.175,0.346
HAPPY_011334,China,Jilin,2024-02-22,2.858,17279.54,0.605,57.6,1.078,-0.268,0.219,0.728,0.393,0.38
HAPPY_015980,India,Rajasthan,2022-04-18,6.576,30900.12,1.333,49.7,0.505,0.164,0.438,0.431,0.526,0.532
HAPPY_005795,South Africa,North West,2015-03-20,5.783,26126.93,1.555,,1.408,-0.064,0.283,0.298,0.437,0.2
HAPPY_015145,Turkey,Adana,2017-12-01,6.436,21772.79,1.75,71.0,1.047,0.404,0.134,0.847,0.604,0.017
HAPPY_013448,South Africa,Western Cape,2016-06-14,6.702,7866.85,1.151,45.0,0.448,-0.083,0.382,0.228,0.068,0.151
HAPPY_005943,Iran,Hamadan,2019-06-20,,38351.8,1.769,77.9,1.207,0.5,0.557,0.504,0.098,0.045
HAPPY_007524,India,Delhi,2016-05-12,6.389,20721.6,0.707,55.4,1.092,0.5,0.418,0.512,0.547,0.911
HAPPY_010772,UK,Northern Ireland,2022-06-13,3.01,40054.42,1.966,74.7,0.566,0.453,0.759,0.525,,0.034
HAPPY_006834,Russia,Republic of Bashkortostan,2019-07-04,7.711,43957.18,0.641,62.9,1.031,-0.004,0.316,0.418,0.157,0.428
HAPPY_010321,Brazil,Paraiba,2015-01-20,8.436,6140.27,0.317,45.0,1.256,0.012,0.923,0.525,0.301,0.207
HAPPY_003089,UK,Yorkshire,2016-08-11,5.258,4303.99,1.393,72.3,1.151,0.032,0.442,0.6,0.058,0.473
HAPPY_006048,Iran,Mazandaran,2015-03-16,5.538,19485.05,1.87,63.6,0.939,0.254,0.524,0.323,0.373,0.23
HAPPY_011876,Turkey,Konya,2019-07-06,6.495,10241.8,1.194,81.1,0.864,-0.159,0.55,0.373,0.138,0.511
HAPPY_010271,Australia,New South Wales,2016-01-09,5.531,5098.47,0.528,83.9,0.344,-0.201,0.291,0.595,0.464,0.64
HAPPY_000394,Australia,Queensland,2024-05-10,5.227,7625.17,1.429,72.5,1.234,0.351,0.853,0.64,0.079,0.334
HAPPY_003935,Spain,Navarre,2019-07-17,3.142,3262.84,1.941,79.3,0.951,-0.103,0.118,0.823,0.404,0.552
HAPPY_000506,India,Maharashtra,2021-06-20,6.902,14121.26,0.737,72.1,0.823,-0.31,0.05,0.585,0.387,0.34
HAPPY_005332,UK,Wales,2018-10-01,4.687,3857.39,0.449,70.4,0.551,0.025,0.355,,0.201,0.701
HAPPY_013760,France,Nouvelle-Aquitaine,2019-09-04,4.673,10543.13,1.436,84.4,0.606,0.165,0.724,0.436,0.158,0.243
HAPPY_002226,USA,Arizona,2022-08-13,8.051,16789.75,1.483,45.0,1.019,0.056,0.298,0.802,0.421,0.501
HAPPY_014356,India,Haryana,2017-02-03,6.917,5402.78,1.955,78.1,1.226,-0.373,0.352,,0.373,0.786
HAPPY_009138,South Africa,Mpumalanga,2017-10-06,7.616,47734.46,0.465,75.0,0.612,-0.416,0.316,0.474,0.423,0.489
HAPPY_004965,USA,Massachusetts,2024-02-13,3.287,4210.06,1.683,74.5,0.622,0.041,0.117,0.337,0.135,0.698
HAPPY_013937,Canada,Alberta,2022-02-03,7.796,29614.47,1.954,65.4,1.074,0.059,0.297,0.726,0.665,0.298
HAPPY_009269,Italy,Molise,2019-08-25,6.465,9101.75,1.416,65.3,0.913,-0.079,,0.89,0.083,0.294
HAPPY_008038,Turkey,Istanbul,2023-01-24,8.386,5698.69,0.841,70.6,0.32,0.272,0.678,0.327,0.193,0.532
HAPPY_014512,Turkey,Kocaeli,2022-06-16,3.911,11908.28,0.23,53.2,1.01,,0.61,0.719,0.633,0.432
HAPPY_007156,Australia,New South Wales,2021-10-10,6.604,8140.92,0.23,54.9,0.853,-0.099,0.326,0.728,0.27,0.31
HAPPY_006798,Japan,Hiroshima,2021-01-24,3.482,23115.24,1.718,54.8,0.829,-0.366,0.138,0.326,0.32,0.235
HAPPY_001910,UK,South West,2020-05-02,7.268,34338.92,1.582,51.5,1.083,0.086,0.434,0.608,0.56,0.585
HAPPY_006072,China,Guangxi,2023-11-10,3.122,21095.77,1.093,78.7,1.057,0.012,0.222,0.466,0.705,0.118
HAPPY_009812,Spain,Catalonia,2023-07-21,2.619,6122.48,0.913,45.0,0.883,0.069,0.201,0.721,0.093,0.344
HAPPY_015209,South Africa,Mpumalanga,2017-05-22,3.066,15207.78,1.671,56.0,1.146,-0.291,0.447,0.841,0.687,0.268
HAPPY_002381,China,Sichuan,2018-02-17,4.401,15753.81,0.973,49.6,0.32,-0.304,0.36,0.64,0.705,0.511
HAPPY_004076,China,Liaoning,2018-11-09,6.378,15118.64,1.98,67.1,0.816,-0.448,0.506,0.936,0.103,0.208
HAPPY_004756,Canada,Quebec,2015-11-02,3.136,10127.16,0.938,58.9,,0.5,0.422,0.857,0.405,0.22
